image_idx,sheet_id,label,filename,width_px,height_px,year,method,instrument,crop_filename,crop_w,crop_h,pct_retained,margin_left,margin_right,margin_top,margin_bottom
89,34-XXV-m,KK 083-04-01/085-04-10_091 - 05978 - 090,089_KK 083-04-01-085-04-10_091 - 05978 - 090.jpg,5027,6064,1928-1929,terrestrial,theodoliet- en bergboussole,crop_089.jpg,4359,4335,62.0,0.07002,0.06286,0.07784,0.20729
90,34-XXV-n,KK 083-04-01/085-04-10_092 - 05978 - 091,090_KK 083-04-01-085-04-10_092 - 05978 - 091.jpg,5064,6118,1930-1931,terrestrial,bergboussole,crop_090.jpg,4390,4373,62.0,0.0703,0.0628,0.0778,0.20742
91,34-XXV-o,KK 083-04-01/085-04-10_093 - 05978 - 092,091_KK 083-04-01-085-04-10_093 - 05978 - 092.jpg,5040,6100,1930-1931,terrestrial,bergboussole,crop_091.jpg,4370,4361,62.0,0.06984,0.0631,0.07803,0.20705
92,34-XXV-p,KK 083-04-01/085-04-10_094 - 05978 - 093,092_KK 083-04-01-085-04-10_094 - 05978 - 093.jpg,5055,6098,1929-1930,terrestrial,theodoliet- en bergboussole,crop_092.jpg,4383,4359,62.0,0.06963,0.0633,0.07806,0.20712
93,34-XXV-q,KK 083-04-01/085-04-10_095 - 05978 - 094,093_KK 083-04-01-085-04-10_095 - 05978 - 094.jpg,5048,6058,1928-1929,terrestrial,theodoliet- en bergboussole,crop_093.jpg,4376,4330,62.0,0.06973,0.06339,0.07791,0.20733
94,34-XXVI-a,KK 083-04-01/085-04-10_096 - 05978 - 095,094_KK 083-04-01-085-04-10_096 - 05978 - 095.jpg,5011,6069,1931,terrestrial,bergboussole,crop_094.jpg,4345,4338,62.0,0.07025,0.06266,0.07843,0.20679
95,34-XXVI-b,KK 083-04-01/085-04-10_097 - 05978 - 096,095_KK 083-04-01-085-04-10_097 - 05978 - 096.jpg,5027,6083,1930-1931,terrestrial,bergboussole,crop_095.jpg,4359,4348,62.0,0.07002,0.06286,0.07759,0.20763
96,34-XXVI-c,KK 083-04-01/085-04-10_098 - 05978 - 097,096_KK 083-04-01-085-04-10_098 - 05978 - 097.jpg,5036,6092,1929-1930,terrestrial,theodoliet- en bergboussole,crop_096.jpg,4366,4354,62.0,0.0699,0.06315,0.07814,0.20715
97,34-XXVI-d,KK 083-04-01/085-04-10_099 - 05978 - 098,097_KK 083-04-01-085-04-10_099 - 05978 - 098.jpg,5041,6104,1929-1931,terrestrial,theodoliet- en bergboussole,crop_097.jpg,4371,4363,62.0,0.06983,0.06308,0.07798,0.20724
98,34-XXVI-e,KK 083-04-01/085-04-10_100 - 05978 - 099,098_KK 083-04-01-085-04-10_100 - 05978 - 099.jpg,5054,6095,1931,terrestrial,bergboussole,crop_098.jpg,4382,4357,62.0,0.07044,0.06252,0.0781,0.20705
99,34-XXVI-f,KK 083-04-01/085-04-10_101 - 05978 - 100,099_KK 083-04-01-085-04-10_101 - 05978 - 100.jpg,5065,6122,1931,terrestrial,bergboussole,crop_099.jpg,4391,4376,62.0,0.07029,0.06278,0.07775,0.20745
100,34-XXVI-g,KK 083-04-01/085-04-10_102 - 05978 - 101,100_KK 083-04-01-085-04-10_102 - 05978 - 101.jpg,5083,6126,1930-1931,terrestrial,bergboussole,crop_100.jpg,4407,4379,62.0,0.07004,0.06295,0.0777,0.20748
101,34-XXVI-h,KK 083-04-01/085-04-10_103 - 05978 - 102,101_KK 083-04-01-085-04-10_103 - 05978 - 102.jpg,5052,6093,1931-1932,terrestrial,theodoliet- en bergboussole,crop_101.jpg,4380,4355,62.0,0.06968,0.06334,0.07812,0.20713
102,34-XXVI-k,KK 083-04-01/085-04-10_104 - 05978 - 103,102_KK 083-04-01-085-04-10_104 - 05978 - 103.jpg,5051,6123,1931,terrestrial,theodoliet- en bergboussole,crop_102.jpg,4379,4377,62.0,0.06969,0.06335,0.07839,0.20676
103,34-XXVI-l,KK 083-04-01/085-04-10_105 - 05978 - 104,103_KK 083-04-01-085-04-10_105 - 05978 - 104.jpg,5063,6096,1931-1932,terrestrial,theodoliet- en bergboussole,crop_103.jpg,4390,4357,62.0,0.07031,0.06261,0.07808,0.20719
104,34-XXVI-m,KK 083-04-01/085-04-10_106 - 05978 - 105,104_KK 083-04-01-085-04-10_106 - 05978 - 105.jpg,5056,6101,1931,terrestrial,theodoliet- en bergboussole,crop_104.jpg,4384,4361,62.0,0.06962,0.06329,0.07802,0.20718
105,34-XXVI-on,KK 083-04-01/085-04-10_107 - 05978 - 106,105_KK 083-04-01-085-04-10_107 - 05978 - 106.jpg,5481,6097,1932,terrestrial,theodoliet- en bergboussole,crop_105.jpg,4752,4358,62.0,0.07006,0.06294,0.07807,0.20715
106,34-XXVI-p,KK 083-04-01/085-04-10_108 - 05978 - 107,106_KK 083-04-01-085-04-10_108 - 05978 - 107.jpg,5043,6095,1932,terrestrial,theodoliet- en bergboussole,crop_106.jpg,4372,4357,62.0,0.0698,0.06326,0.0781,0.20705
107,34-XXVI-q,KK 083-04-01/085-04-10_109 - 05978 - 108,107_KK 083-04-01-085-04-10_109 - 05978 - 108.jpg,5033,6087,1931-1932,terrestrial,theodoliet- en bergboussole,crop_107.jpg,4363,4351,62.0,0.06994,0.06318,0.0782,0.207
108,34-XXVII-b,KK 083-04-01/085-04-10_110 - 05978 - 109,108_KK 083-04-01-085-04-10_110 - 05978 - 109.jpg,5045,6120,1934-1935,terrestrial,bergboussole,crop_108.jpg,4374,4374,62.0,0.07056,0.06244,0.07778,0.20751
109,34-XXVII-c,KK 083-04-01/085-04-10_111 - 05978 - 110,109_KK 083-04-01-085-04-10_111 - 05978 - 110.jpg,5059,6104,1934-1935,terrestrial,bergboussole,crop_109.jpg,4386,4363,62.0,0.07037,0.06266,0.07798,0.20724
110,34-XXVII-d,KK 083-04-01/085-04-10_112 - 05978 - 111,110_KK 083-04-01-085-04-10_112 - 05978 - 111.jpg,5011,6074,1934-1935,terrestrial,bergboussole,crop_110.jpg,4345,4342,62.0,0.07025,0.06266,0.07771,0.20744
111,34-XXVII-f,KK 083-04-01/085-04-10_113 - 05978 - 112,111_KK 083-04-01-085-04-10_113 - 05978 - 112.jpg,5043,6101,1934-1935,terrestrial,bergboussole,crop_111.jpg,4372,4361,62.0,0.0698,0.06326,0.07802,0.20718
112,34-XXVII-g,KK 083-04-01/085-04-10_114 - 05978 - 113,112_KK 083-04-01-085-04-10_114 - 05978 - 113.jpg,5064,6290,1934-1935,terrestrial,bergboussole,crop_112.jpg,4390,4496,62.0,0.0703,0.0628,0.07758,0.20763
113,34-XXVII-h,KK 083-04-01/085-04-10_115 - 05978 - 114,113_KK 083-04-01-085-04-10_115 - 05978 - 114.jpg,5053,6112,1933-1934,terrestrial,theodoliet- en bergboussole,crop_113.jpg,4381,4369,62.0,0.07045,0.06254,0.07788,0.2073
114,34-XXVII-m,KK 083-04-01/085-04-10_116 - 05978 - 115,114_KK 083-04-01-085-04-10_116 - 05978 - 115.jpg,5031,6089,1933-1934,terrestrial,theodoliet- en bergboussole,crop_114.jpg,4362,4353,62.0,0.06997,0.06301,0.07752,0.20758
115,35-XXIV-i,KK 083-04-01/085-04-10_117 - 05978 - 116,115_KK 083-04-01-085-04-10_117 - 05978 - 116.jpg,5033,6079,1931,terrestrial,bergboussole,crop_115.jpg,4363,4345,62.0,0.06994,0.06318,0.0783,0.20694
116,35-XXIV-n,KK 083-04-01/085-04-10_118 - 05978 - 117,116_KK 083-04-01-085-04-10_118 - 05978 - 117.jpg,5039,6085,1931,aerial,bergboussole,crop_116.jpg,4369,4350,62.0,0.06986,0.06311,0.07823,0.2069
117,35-XXV-a,KK 083-04-01/085-04-10_119 - 05978 - 118,117_KK 083-04-01-085-04-10_119 - 05978 - 118.jpg,5100,6080,1930,terrestrial,bergboussole,crop_117.jpg,4421,4346,62.0,0.0698,0.06333,0.07829,0.20691
118,35-XXV-e,KK 083-04-01/085-04-10_120 - 05978 - 119,118_KK 083-04-01-085-04-10_120 - 05978 - 119.jpg,5035,6076,1927-1928,terrestrial,theodoliet- en bergboussole,crop_118.jpg,4365,4344,62.0,0.06991,0.06316,0.07768,0.20738
119,35-XXV-i,KK 083-04-01/085-04-10_121 - 05978 - 120,119_KK 083-04-01-085-04-10_121 - 05978 - 120.jpg,5007,6039,1927-1928,terrestrial,theodoliet boussole en boussole tranche montagne,crop_119.jpg,4341,4365,62.7,0.0703,0.06271,0.07021,0.20699
120,35-XXV-n,KK 083-04-01/085-04-10_122 - 05978 - 121,120_KK 083-04-01-085-04-10_122 - 05978 - 121.jpg,5059,6075,1928-1929,terrestrial,theodoliet- en bergboussole,crop_120.jpg,4386,4343,62.0,0.07037,0.06266,0.0777,0.2074
121,35-XXV-o,KK 083-04-01/085-04-10_123 - 05978 - 122,121_KK 083-04-01-085-04-10_123 - 05978 - 122.jpg,5051,6092,1927-1928,terrestrial,theodoliet boussole en boussole tranche montagne,crop_121.jpg,4379,4354,62.0,0.06969,0.06335,0.07814,0.20715
122,35-XXVI-a,KK 083-04-01/085-04-10_124 - 05978 - 123,122_KK 083-04-01-085-04-10_124 - 05978 - 123.jpg,5017,6074,1930-1931,terrestrial,bergboussole,crop_122.jpg,4349,4342,62.0,0.07016,0.06299,0.07771,0.20744
123,35-XXVI-b,KK 083-04-01/085-04-10_125 - 05978 - 124,123_KK 083-04-01-085-04-10_125 - 05978 - 124.jpg,5005,6064,1930,terrestrial,theodoliet- en bergboussole,crop_123.jpg,4339,4335,62.0,0.07033,0.06274,0.0785,0.20663
124,35-XXVI-e,KK 083-04-01/085-04-10_126 - 05978 - 125,124_KK 083-04-01-085-04-10_126 - 05978 - 125.jpg,5014,6075,1931,terrestrial,bergboussole,crop_124.jpg,4348,4343,62.0,0.06941,0.06342,0.0777,0.2074
125,35-XXVI-f,KK 083-04-01/085-04-10_127 - 05978 - 126,125_KK 083-04-01-085-04-10_127 - 05978 - 126.jpg,5062,6100,1930-1931,terrestrial,theodoliet- en bergboussole,crop_125.jpg,4389,4361,62.0,0.07033,0.06262,0.07803,0.20705
126,35-XXVI-g,KK 083-04-01/085-04-10_128 - 05978 - 127,126_KK 083-04-01-085-04-10_128 - 05978 - 127.jpg,5018,6089,1930-1931,terrestrial,theodoliet- en bergboussole,crop_126.jpg,4350,4353,62.0,0.07015,0.06297,0.07817,0.20693
127,35-XXVI-h,KK 083-04-01/085-04-10_129 - 05978 - 128,127_KK 083-04-01-085-04-10_129 - 05978 - 128.jpg,5051,6117,1930-1931,terrestrial,theodoliet- en bergboussole,crop_127.jpg,4379,4372,62.0,0.06969,0.06335,0.07782,0.20745
128,35-XXVI-i,KK 083-04-01/085-04-10_130 - 05978 - 129,128_KK 083-04-01-085-04-10_130 - 05978 - 129.jpg,5034,6107,1931-1932,terrestrial,bergboussole,crop_128.jpg,4364,4365,62.0,0.06992,0.06317,0.07794,0.20731
129,35-XXVI-k,KK 083-04-01/085-04-10_131 - 05978 - 130,129_KK 083-04-01-085-04-10_131 - 05978 - 130.jpg,5032,6076,1931-1932,terrestrial,theodoliet- en bergboussole,crop_129.jpg,4362,4344,62.0,0.06995,0.0632,0.07768,0.20738
130,35-XXVI-l,KK 083-04-01/085-04-10_132 - 05978 - 131,130_KK 083-04-01-085-04-10_132 - 05978 - 131.jpg,5014,6069,1931-1932,terrestrial,theodoliet- en bergboussole,crop_130.jpg,4348,4338,62.0,0.06941,0.06342,0.07843,0.20679
131,35-XXVI-m,KK 083-04-01/085-04-10_133 - 05978 - 132,131_KK 083-04-01-085-04-10_133 - 05978 - 132.jpg,5015,6087,1931-1932,terrestrial,theodoliet- en bergboussole,crop_131.jpg,4348,4351,62.0,0.06939,0.06361,0.0782,0.207
132,35-XXVI-n,KK 083-04-01/085-04-10_134 - 05978 - 133,132_KK 083-04-01-085-04-10_134 - 05978 - 133.jpg,5007,6097,1931,terrestrial,theodoliet- en bergboussole,crop_132.jpg,4341,4358,62.0,0.0703,0.06271,0.07807,0.20715
133,35-XXVI-o,KK 083-04-01/085-04-10_135 - 05978 - 134,133_KK 083-04-01-085-04-10_135 - 05978 - 134.jpg,5023,6078,1931-1932,terrestrial,theodoliet- en bergboussole,crop_133.jpg,4355,4344,62.0,0.07008,0.06291,0.07766,0.20763
134,35-XXVI-p,KK 083-04-01/085-04-10_136 - 05978 - 135,134_KK 083-04-01-085-04-10_136 - 05978 - 135.jpg,5013,6056,1932,terrestrial,theodoliet- en bergboussole,crop_134.jpg,4347,4329,62.0,0.07022,0.06264,0.07794,0.20723
135,35-XXVI-q,KK 083-04-01/085-04-10_137 - 05978 - 136,135_KK 083-04-01-085-04-10_137 - 05978 - 136.jpg,5058,6121,1933,terrestrial,bergboussole,crop_135.jpg,4385,4375,62.0,0.07038,0.06267,0.07842,0.20683
136,35-XXVII-a,KK 083-04-01/085-04-10_138 - 05978 - 137,136_KK 083-04-01-085-04-10_138 - 05978 - 137.jpg,5041,6093,1934-1935,terrestrial,bergboussole,crop_136.jpg,4371,4355,62.0,0.06983,0.06308,0.07812,0.20713
137,35-XXVII-b,KK 083-04-01/085-04-10_139 - 05978 - 138,137_KK 083-04-01-085-04-10_139 - 05978 - 138.jpg,5038,6098,1934,terrestrial,bergboussole,crop_137.jpg,4368,4359,62.0,0.06987,0.06312,0.07806,0.20712
138,35-XXVII-c,KK 083-04-01/085-04-10_140 - 05978 - 139,138_KK 083-04-01-085-04-10_140 - 05978 - 139.jpg,5032,6093,1931-1934,terrestrial,theodoliet- en bergboussole,crop_138.jpg,4362,4355,62.0,0.06995,0.0632,0.07812,0.20713
139,35-XXVII-d,KK 083-04-01/085-04-10_141 - 05978 - 140,139_KK 083-04-01-085-04-10_141 - 05978 - 140.jpg,5015,6075,1931-1933,terrestrial,theodoliet- en bergboussole,crop_139.jpg,4348,4343,62.0,0.06939,0.06361,0.0777,0.2074
140,35-XXVII-e,KK 083-04-01/085-04-10_142 - 05978 - 141,140_KK 083-04-01-085-04-10_142 - 05978 - 141.jpg,5071,6106,1933-1934,terrestrial,theodoliet- en bergboussole,crop_140.jpg,4397,4364,62.0,0.0702,0.06271,0.07796,0.20733
141,35-XXVII-f,KK 083-04-01/085-04-10_143 - 05978 - 142,141_KK 083-04-01-085-04-10_143 - 05978 - 142.jpg,5021,6060,1934,terrestrial,bergboussole,crop_141.jpg,4353,4332,62.0,0.07011,0.06294,0.07789,0.20726
142,35-XXVII-g,KK 083-04-01/085-04-10_144 - 05978 - 143,142_KK 083-04-01-085-04-10_144 - 05978 - 143.jpg,5048,6108,1934,terrestrial,bergboussole,crop_142.jpg,4376,4366,62.0,0.06973,0.06339,0.07793,0.20727
143,35-XXVII-h,KK 083-04-01/085-04-10_145 - 05978 - 144,143_KK 083-04-01-085-04-10_145 - 05978 - 144.jpg,4997,6060,1932-1933,terrestrial,theodoliet- en bergboussole,crop_143.jpg,4333,4332,62.0,0.07044,0.06244,0.07789,0.20726
144,35-XXVII-i,KK 083-04-01/085-04-10_146 - 05978 - 145,144_KK 083-04-01-085-04-10_146 - 05978 - 145.jpg,5018,6080,1934,terrestrial,bergboussole,crop_144.jpg,4350,4346,62.0,0.07015,0.06297,0.07763,0.20757
145,35-XXVII-ko,KK 083-04-01/085-04-10_147 - 05978 - 146,145_KK 083-04-01-085-04-10_147 - 05978 - 146.jpg,4978,6899,1934,terrestrial,bergboussole,crop_145.jpg,4471,5257,68.4,0.05303,0.04881,0.05798,0.20728
146,35-XXVII-l,KK 083-04-01/085-04-10_148 - 05978 - 147,146_KK 083-04-01-085-04-10_148 - 05978 - 147.jpg,5025,6060,1934,terrestrial,bergboussole,crop_146.jpg,4357,4332,62.0,0.07005,0.06289,0.07789,0.20726
147,35-XXVII-m,KK 083-04-01/085-04-10_149 - 05978 - 148,147_KK 083-04-01-085-04-10_149 - 05978 - 148.jpg,5003,6083,1932-1933,terrestrial,theodoliet- en bergboussole,crop_147.jpg,4337,4348,62.0,0.07036,0.06276,0.07759,0.20763
148,35-XXVII-p,KK 083-04-01/085-04-10_150 - 05978 - 149,148_KK 083-04-01-085-04-10_150 - 05978 - 149.jpg,5027,6084,1934,terrestrial,bergboussole,crop_148.jpg,4359,4349,62.0,0.07002,0.06286,0.07824,0.20693
149,35-XXVII-q,KK 083-04-01/085-04-10_151 - 05978 - 150,149_KK 083-04-01-085-04-10_151 - 05978 - 150.jpg,5070,6106,1932-1933,terrestrial,theodoliet- en bergboussole,crop_149.jpg,4396,4364,62.0,0.06943,0.06351,0.07796,0.20733
150,35-XXVIII-d,KK 083-04-01/085-04-10_152 - 05978 - 151,150_KK 083-04-01-085-04-10_152 - 05978 - 151.jpg,5009,6062,1933,terrestrial,theodoliet- en bergboussole,crop_150.jpg,4343,4334,62.0,0.07027,0.06269,0.07786,0.20719
151,36-XXVI-ie,KK 083-04-01/085-04-10_153 - 05978 - 152,151_KK 083-04-01-085-04-10_153 - 05978 - 152.jpg,5029,6487,1932,terrestrial,theodoliet- en bergboussole,crop_151.jpg,4360,4794,64.1,0.06999,0.06303,0.06598,0.20734
152,36-XXVI-k,KK 083-04-01/085-04-10_154 - 05978 - 153,152_KK 083-04-01-085-04-10_154 - 05978 - 153.jpg,5020,6074,1932,terrestrial,theodoliet- en bergboussole,crop_152.jpg,4352,4342,62.0,0.07012,0.06295,0.07837,0.20678
153,36-XXVI-l,KK 083-04-01/085-04-10_155 - 05978 - 154,153_KK 083-04-01-085-04-10_155 - 05978 - 154.jpg,5043,6096,1932,terrestrial,theodoliet- en bergboussole,crop_153.jpg,4372,4357,62.0,0.0698,0.06326,0.07808,0.20719
154,36-XXVI-m,KK 083-04-01/085-04-10_156 - 05978 - 155,154_KK 083-04-01-085-04-10_156 - 05978 - 155.jpg,5039,6088,1932,terrestrial,bergboussole,crop_154.jpg,4369,4352,62.0,0.06986,0.06311,0.07753,0.20762
155,36-XXVI-n,KK 083-04-01/085-04-10_157 - 05978 - 156,155_KK 083-04-01-085-04-10_157 - 05978 - 156.jpg,5025,6080,1932-1933,terrestrial,theodoliet- en bergboussole,crop_155.jpg,4357,4346,62.0,0.07005,0.06289,0.07829,0.20691
156,36-XXVI-o,KK 083-04-01/085-04-10_158 - 05978 - 157,156_KK 083-04-01-085-04-10_158 - 05978 - 157.jpg,5084,6156,1933,terrestrial,bergboussole,crop_156.jpg,4408,4400,62.0,0.07002,0.06294,0.07797,0.20728
157,36-XXVI-p,KK 083-04-01/085-04-10_159 - 05978 - 158,157_KK 083-04-01-085-04-10_159 - 05978 - 158.jpg,5047,6108,1933,terrestrial,bergboussole,crop_157.jpg,4376,4366,62.0,0.06974,0.06321,0.07793,0.20727
158,36-XXVI-q,KK 083-04-01/085-04-10_160 - 05978 - 159,158_KK 083-04-01-085-04-10_160 - 05978 - 159.jpg,5090,6138,1932,terrestrial,bergboussole,crop_158.jpg,4413,4388,62.0,0.06994,0.06306,0.07755,0.20756
159,36-XXVII-a,KK 083-04-01/085-04-10_161 - 05978 - 160,159_KK 083-04-01-085-04-10_161 - 05978 - 160.jpg,5111,6140,1932-1933,terrestrial,theodoliet- en bergboussole,crop_159.jpg,4432,4389,62.0,0.06965,0.0632,0.07818,0.207
160,36-XXVII-b,KK 083-04-01/085-04-10_162 - 05978 - 161,160_KK 083-04-01-085-04-10_162 - 05978 - 161.jpg,5084,6108,1933,terrestrial,bergboussole,crop_160.jpg,4408,4366,62.0,0.07002,0.06294,0.07859,0.20661
161,36-XXVII-c,KK 083-04-01/085-04-10_163 - 05978 - 162,161_KK 083-04-01-085-04-10_163 - 05978 - 162.jpg,5092,6108,1933,terrestrial,bergboussole,crop_161.jpg,4415,4366,62.0,0.06991,0.06304,0.07793,0.20727
162,36-XXVII-e,KK 083-04-01/085-04-10_164 - 05978 - 163,162_KK 083-04-01-085-04-10_164 - 05978 - 163.jpg,5141,6161,1932-1933,terrestrial,theodoliet- en bergboussole,crop_162.jpg,4458,4404,62.0,0.07003,0.06283,0.07791,0.20727
163,36-XXVII-fg,KK 083-04-01/085-04-10_165 - 05978 - 164,163_KK 083-04-01-085-04-10_165 - 05978 - 164.jpg,5759,6144,1933,terrestrial,bergboussole,crop_163.jpg,4993,4392,62.0,0.07015,0.06286,0.07812,0.20704
164,36-XXVII-i,KK 083-04-01/085-04-10_166 - 05978 - 165,164_KK 083-04-01-085-04-10_166 - 05978 - 165.jpg,5138,6173,1933,terrestrial,bergboussole,crop_164.jpg,4455,4413,62.0,0.07007,0.06286,0.07841,0.2067
165,36-XXVII-k,KK 083-04-01/085-04-10_167 - 05978 - 166,165_KK 083-04-01-085-04-10_167 - 05978 - 166.jpg,5120,6147,1933,terrestrial,bergboussole,crop_165.jpg,4439,4394,62.0,0.07031,0.0627,0.07809,0.20709
166,36-XXVII-n,KK 083-04-01/085-04-10_168 - 05978 - 167,166_KK 083-04-01-085-04-10_168 - 05978 - 167.jpg,5102,6140,1932-1933,terrestrial,theodoliet- en bergboussole,crop_166.jpg,4423,4389,62.0,0.06978,0.06331,0.07818,0.207
167,36-XXVII-o,KK 083-04-01/085-04-10_169 - 05978 - 168,167_KK 083-04-01-085-04-10_169 - 05978 - 168.jpg,5139,6159,1932-1933,terrestrial,theodoliet- en bergboussole,crop_167.jpg,4456,4402,62.0,0.06927,0.06363,0.07793,0.20734
168,36-XXVII-p,KK 083-04-01/085-04-10_170 - 05978 - 169,168_KK 083-04-01-085-04-10_170 - 05978 - 169.jpg,5125,6140,1934,terrestrial,bergboussole,crop_168.jpg,4444,4389,62.0,0.06946,0.06341,0.07818,0.207
169,36-XXVIII-a,KK 083-04-01/085-04-10_171 - 05978 - 170,169_KK 083-04-01-085-04-10_171 - 05978 - 170.jpg,5137,6173,1932-1933,terrestrial,theodoliet- en bergboussole,crop_169.jpg,4454,4413,62.0,0.07008,0.06288,0.07776,0.20735
170,36-XXVIII-bf,KK 083-04-01/085-04-10_172 - 05978 - 171,170_KK 083-04-01-085-04-10_172 - 05978 - 171.jpg,5135,7090,1932-1934,terrestrial,theodoliet- en bergboussole,crop_170.jpg,4452,5325,65.1,0.06933,0.06368,0.06601,0.20705
171,36-XXVIII-c,KK 083-04-01/085-04-10_173 - 05978 - 172,171_KK 083-04-01-085-04-10_173 - 05978 - 172.jpg,5126,6151,1934,terrestrial,bergboussole,crop_171.jpg,4445,4397,62.0,0.07023,0.06262,0.07804,0.20712
172,36-XXVIII-dh,KK 083-04-01/085-04-10_174 - 05978 - 173,172_KK 083-04-01-085-04-10_174 - 05978 - 173.jpg,5121,6558,1934,terrestrial,bergboussole,crop_172.jpg,4440,4788,63.3,0.06952,0.06346,0.07502,0.20708
173,36-XXVIII-e,KK 083-04-01/085-04-10_175 - 05978 - 174,173_KK 083-04-01-085-04-10_175 - 05978 - 174.jpg,5103,6137,1934,terrestrial,bergboussole,crop_173.jpg,4424,4387,62.0,0.06976,0.0633,0.07756,0.2076
174,36-XXVIII-g,KK 083-04-01/085-04-10_176 - 05978 - 175,174_KK 083-04-01-085-04-10_176 - 05978 - 175.jpg,5134,6161,1934,terrestrial,bergboussole,crop_174.jpg,4451,4404,62.0,0.07012,0.06291,0.07791,0.20727
175,37-XXVI-in,KK 083-04-01/085-04-10_177 - 05978 - 176,175_KK 083-04-01-085-04-10_177 - 05978 - 176.jpg,5080,6712,1932,terrestrial,bergboussole,crop_175.jpg,4404,4798,62.0,0.07008,0.06299,0.07867,0.20649
